section,row_type,item_id,field,value
problem_settings,setting,num_orders,num_orders,6
problem_settings,setting,num_customers,num_customers,6
problem_settings,setting,num_containers,num_containers,1
problem_settings,setting,num_transshipments,num_transshipments,2
problem_settings,setting,candidate_transshipment_nodes,candidate_transshipment_nodes,"[2, 3]"
problem_settings,setting,owned_num_trucks,owned_num_trucks,1
problem_settings,setting,warehouse_num_vans,warehouse_num_vans,"{2: 2, 3: 2}"
problem_settings,setting,drones_per_van,drones_per_van,2
problem_settings,setting,warehouse_num_drones,warehouse_num_drones,"{2: 4, 3: 4}"
problem_settings,setting,owned_num_vans,owned_num_vans,4
problem_settings,setting,owned_num_drones,owned_num_drones,8
problem_settings,setting,van_home,van_home,"{'van_0': 2, 'van_1': 2, 'van_2': 3, 'van_3': 3}"
problem_settings,setting,drone_initial_carrier,drone_initial_carrier,"{'drone_0': 'van_0', 'drone_1': 'van_0', 'drone_2': 'van_1', 'drone_3': 'van_1', 'drone_4': 'van_2', 'drone_5': 'van_2', 'drone_6': 'van_3', 'drone_7': 'van_3'}"
problem_settings,setting,drone_home_warehouse,drone_home_warehouse,"{'drone_0': 2, 'drone_1': 2, 'drone_2': 2, 'drone_3': 2, 'drone_4': 3, 'drone_5': 3, 'drone_6': 3, 'drone_7': 3}"
problem_settings,setting,used_trucks,used_trucks,1
problem_settings,setting,used_vans,used_vans,2
problem_settings,setting,used_drones,used_drones,2
problem_settings,setting,used_drone_sorties,used_drone_sorties,2
problem_settings,setting,distance_metric,distance_metric,Euclidean distance
problem_settings,setting,ground_distance_factor,ground_distance_factor,1.0
problem_settings,setting,tractor_speed_kmph,tractor_speed_kmph,30.0
problem_settings,setting,van_speed_kmph,van_speed_kmph,40.0
problem_settings,setting,drone_speed_kmph,drone_speed_kmph,80.0
problem_settings,setting,van_capacity_kg,van_capacity_kg,500.0
problem_settings,setting,drone_capacity_kg,drone_capacity_kg,30.0
problem_settings,setting,drone_endurance_km,drone_endurance_km,90.0
problem_settings,setting,drone_battery_capacity_kwh,drone_battery_capacity_kwh,13.8
problem_settings,setting,drone_payload_energy_coeff_rou,drone_payload_energy_coeff_rou,0.5
problem_settings,setting,drone_base_energy_coeff_rou1,drone_base_energy_coeff_rou1,0.18
problem_settings,setting,drone_self_weight_kg,drone_self_weight_kg,5.0
problem_settings,setting,tractor_cost_per_km,tractor_cost_per_km,1.93
problem_settings,setting,van_cost_per_km,van_cost_per_km,0.875
problem_settings,setting,drone_cost_per_km,drone_cost_per_km,0.052
problem_settings,setting,tractor_fixed_cost,tractor_fixed_cost,166.0
problem_settings,setting,van_fixed_cost,van_fixed_cost,59.0
problem_settings,setting,drone_fixed_cost,drone_fixed_cost,169.0
problem_settings,setting,default_time_window,default_time_window,"(0.0, 360.0)"
problem_settings,setting,customer_service_time_min,customer_service_time_min,0.0
problem_settings,setting,low_floor_service_rule,low_floor_service_rule,low-floor customers can be served by van or drone; optimizer decides service_mode
problem_settings,setting,high_floor_service_rule,high_floor_service_rule,high-floor customers must be served by drone
problem_settings,setting,drone_energy_formula,drone_energy_formula,energy += [rou * (pickup_load + delivery_load + drone_self_weight) + rou1] * flight_hours
problem_settings,setting,waiting_cost_in_objective,waiting_cost_in_objective,False
problem_settings,setting,used_drones_note,used_drones_note,physical drone count after assigning drone_id to sorties
nodes_orders,node,0,node_id,0
nodes_orders,node,0,node_type,port
nodes_orders,node,0,x,5.0
nodes_orders,node,0,y,5.0
nodes_orders,node,0,delivery_demand,
nodes_orders,node,0,pickup_demand,
nodes_orders,node,0,time_window,
nodes_orders,node,0,service_time,
nodes_orders,node,0,drone_eligible,
nodes_orders,node,0,high_floor,
nodes_orders,node,0,order_id,
nodes_orders,node,0,container_id,
nodes_orders,node,0,assigned_transshipment,
nodes_orders,node,1,node_id,1
nodes_orders,node,1,node_type,truck_depot
nodes_orders,node,1,x,0.0
nodes_orders,node,1,y,12.0
nodes_orders,node,1,delivery_demand,
nodes_orders,node,1,pickup_demand,
nodes_orders,node,1,time_window,
nodes_orders,node,1,service_time,
nodes_orders,node,1,drone_eligible,
nodes_orders,node,1,high_floor,
nodes_orders,node,1,order_id,
nodes_orders,node,1,container_id,
nodes_orders,node,1,assigned_transshipment,
nodes_orders,node,2,node_id,2
nodes_orders,node,2,node_type,transshipment
nodes_orders,node,2,x,28.0
nodes_orders,node,2,y,24.0
nodes_orders,node,2,delivery_demand,
nodes_orders,node,2,pickup_demand,
nodes_orders,node,2,time_window,
nodes_orders,node,2,service_time,
nodes_orders,node,2,drone_eligible,
nodes_orders,node,2,high_floor,
nodes_orders,node,2,order_id,
nodes_orders,node,2,container_id,
